municipio,uf,nome,categoria,presenca_peso,escopo,cobertura,foco,fonte,confianca,data_verificacao,censo_status
Fortaleza,CE,GCI Risk,GERENCIADORA_GR,1.0,sede,Ceara e regiao Nordeste,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),alta,2026-08-29,PARCIAL
Maceio,AL,Verttice,GERENCIADORA_GR,0.9,unidade regional,Alagoas Pernambuco SP e MG,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),alta,2026-08-29,PARCIAL
Recife,PE,Verttice,GERENCIADORA_GR,0.9,unidade regional,Pernambuco Alagoas SP e MG,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),alta,2026-08-29,PARCIAL
Araguaina,TO,TJ Gerenciamento,GERENCIADORA_GR,1.0,sede,unico registro de GR sediada em toda a regiao Norte na lista consultada,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),alta,2026-08-29,PARCIAL
Cascavel,PR,Engerisco,GERENCIADORA_GR,0.9,sede,Oeste do Parana,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),media-alta,2026-08-29,PARCIAL
Curitiba,PR,Global 5,GERENCIADORA_GR,0.9,sede,Parana,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),media-alta,2026-08-29,PARCIAL
Curitiba,PR,GR Parceria,GERENCIADORA_GR,0.8,sede,Parana,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),media-alta,2026-08-29,PARCIAL
Maringa,PR,Siga GR,GERENCIADORA_GR,0.9,sede,Parana,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),media-alta,2026-08-29,PARCIAL
Porto Alegre,RS,Protege GR,GERENCIADORA_GR,0.9,sede,Rio Grande do Sul,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),media-alta,2026-08-29,PARCIAL
Osasco,SP,Skymark,GERENCIADORA_GR,1.0,sede,nacional forte em SP e RJ,gerenciamento de risco de transporte de cargas,site institucional e lista AXA,alta,2026-08-29,PARCIAL
Sao Paulo,SP,Brasil Risk,GERENCIADORA_GR,1.0,sede,todo o territorio nacional,gerenciamento de risco de transporte de cargas,site institucional e lista AXA,alta,2026-08-29,PARCIAL
Sao Paulo,SP,Buonny,GERENCIADORA_GR,1.0,sede,todo o Brasil e Mercosul,gerenciamento de risco de transporte de cargas,site institucional e lista AXA/Porto Seguro,alta,2026-08-29,PARCIAL
Rondonopolis,MT,Buonny,GERENCIADORA_GR,0.5,posto avancado remoto sem sede local,agronegocio Mato Grosso,vaga de Inspetor de Riscos publicada localmente pela Buonny,vaga de emprego Buonny,media-alta,2026-08-29,PARCIAL
Rio de Janeiro,RJ,Golden Service,GERENCIADORA_GR,1.0,sede,Rio de Janeiro,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),alta,2026-08-29,PARCIAL
Uberlandia,MG,DI Gerenciadora,GERENCIADORA_GR,0.8,sede,Minas Gerais,gerenciamento de risco de transporte de cargas,lista credenciada AXA (reextraida diretamente),media-alta,2026-08-29,PARCIAL
